Frequency (Hz),Input Amplitude (two-sided),Reference Amplitude (two-sided),Mix Amplitude (two-sided),Output Amplitude (two-sided)
-961898.6800057059,0.0002950173676903727,7.408689888380073e-05,0.000606766454867968,8.583672903643555e-05
-961565.3817797857,0.00029503467888964877,7.409099886147661e-05,0.0006068007661809564,8.584146719974492e-05
-961232.0835538656,0.00029505207277334775,7.40951183799267e-05,0.0006068352411578833,8.584622794339589e-05
-960898.7853279454,0.0002950695493666566,7.409925744442432e-05,0.000606869879845164,8.58510112735933e-05
-960565.4871020252,0.0002950871086943285,7.410341606058173e-05,0.0006069046822911891,8.585581719657205e-05
-960232.188876105,0.0002951047507823425,7.410759423351869e-05,0.0006069396485422438,8.586064571859746e-05
-959898.8906501847,0.000295122475656736,7.411179196893284e-05,0.0006069747786461903,8.586549684595963e-05
-959565.5924242645,0.00029514028334285775,7.41160092723425e-05,0.0006070100726522109,8.587037058500283e-05
-959232.2941983443,0.0002951581738670516,7.41202461491923e-05,0.0006070455306076766,8.587526694206958e-05
-958898.9959724242,0.0002951761472564039,7.412450260530604e-05,0.0006070811525622079,8.588018592355232e-05
-958565.697746504,0.0002951942035341101,7.412877864572469e-05,0.000607116938561508,8.588512753585992e-05
-958232.3995205837,0.0002952123427290201,7.413307427650482e-05,0.0006071528886578768,8.589009178546401e-05
-957899.1012946635,0.0002952305648667703,7.413738950295551e-05,0.00060718900289834,8.589507867880752e-05
-957565.8030687433,0.00029524886997419475,7.414172433091554e-05,0.0006072252813323274,8.59000882224312e-05
-957232.5048428231,0.0002952672580766834,7.41460787660727e-05,0.0006072617240101087,8.59051204228566e-05
-956899.206616903,0.00029528572920392267,7.415045281415576e-05,0.0006072983309815918,8.59101752866606e-05
-956565.9083909828,0.00029530428338081553,7.415484648094871e-05,0.0006073351022981457,8.5915252820443e-05
-956232.6101650625,0.0002953229206346164,7.415925977213488e-05,0.0006073720380075329,8.592035303083521e-05
-955899.3119391423,0.0002953416409930214,7.416369269352128e-05,0.0006074091381622127,8.59254759244944e-05
-955566.0137132221,0.0002953604444826533,7.416814525084103e-05,0.0006074464028115829,8.593062150812868e-05
-955232.7154873019,0.0002953793311315308,7.41726174500117e-05,0.0006074838320074052,8.59357897884344e-05
-954899.4172613817,0.0002953983009673608,7.417710929687893e-05,0.000607521425800537,8.594098077219213e-05
-954566.1190354615,0.00029541735401690896,7.418162079743078e-05,0.0006075591842431566,8.594619446616277e-05
-954232.8208095413,0.00029543649030948214,7.41861519575339e-05,0.000607597107386301,8.595143087717025e-05
-953899.5225836211,0.0002954557098721046,7.419070278308629e-05,0.000607635195282024,8.595669001207354e-05
-953566.2243577009,0.0002954750127330535,7.419527328015085e-05,0.0006076734479831365,8.596197187772386e-05
-953232.9261317807,0.00029549439892027023,7.419986345465702e-05,0.000607711865540884,8.596727648104783e-05
-952899.6279058604,0.0002955138684625716,7.420447331265561e-05,0.0006077504480088561,8.597260382896694e-05
-952566.3296799402,0.00029553342138806144,7.420910286029136e-05,0.0006077891954398005,8.597795392847185e-05
-952233.0314540201,0.00029555305772551604,7.421375210355061e-05,0.0006078281078864028,8.598332678653512e-05
-951899.7332280999,0.00029557277750369963,7.421842104851983e-05,0.0006078671854022385,8.598872241020871e-05
-951566.4350021797,0.00029559258075096095,7.422310970137775e-05,0.0006079064280407339,8.599414080655166e-05
-951233.1367762595,0.00029561246749812105,7.422781806831902e-05,0.0006079458358558607,8.599958198264207e-05
-950899.8385503392,0.0002956324377714113,7.423254615554679e-05,0.0006079854089023661,8.600504594560367e-05
-950566.540324419,0.0002956524916014983,7.42372939692123e-05,0.0006080251472332702,8.60105327025993e-05
-950233.2420984989,0.00029567262901957343,7.424206151566334e-05,0.0006080650509040645,8.601604226080869e-05
-949899.9438725787,0.0002956928500538967,7.424684880105247e-05,0.0006081051199688828,8.602157462745152e-05
-949566.6456466585,0.00029571315473110935,7.425165583176383e-05,0.0006081453544832151,8.60271298097705e-05
-949233.3474207382,0.0002957335430830157,7.425648261405698e-05,0.0006081857545013852,8.603270781505005e-05
-948900.049194818,0.00029575401514114194,7.426132915432546e-05,0.0006082263200799498,8.603830865058096e-05
-948566.7509688978,0.0002957745709340587,7.42661954589887e-05,0.000608267051274598,8.604393232372529e-05
-948233.4527429776,0.00029579521049178867,7.42710815343651e-05,0.0006083079481407921,8.604957884183963e-05
-947900.1545170575,0.00029581593384550423,7.427598738695883e-05,0.000608349010734853,8.60552482123253e-05
-947566.8562911373,0.00029583674102450316,7.428091302320404e-05,0.0006083902391129334,8.606094044263293e-05
-947233.558065217,0.0002958576320599752,7.428585844961071e-05,0.0006084316333321,8.606665554019831e-05
-946900.2598392968,0.0002958786069822403,7.429082367266532e-05,0.0006084731934490072,8.60723935125296e-05
-946566.9616133766,0.00029589966582206905,7.429580869892631e-05,0.0006085149195206193,8.60781543671559e-05
-946233.6633874564,0.0002959208086107012,7.430081353499458e-05,0.0006085568116050874,8.608393811164259e-05
-945900.3651615363,0.0002959420353789073,7.43058381873843e-05,0.0006085988697588509,8.608974475356089e-05
-945567.066935616,0.00029596334615812755,7.431088266280928e-05,0.0006086410940409564,8.609557430054292e-05
-945233.7687096958,0.00029598474097917277,7.431594696786398e-05,0.0006086834845085886,8.610142676023336e-05
-944900.4704837756,0.00029600621987371285,7.43210311092518e-05,0.0006087260412204902,8.610730214031686e-05
-944567.1722578554,0.0002960277828730207,7.432613509366638e-05,0.0006087687642350893,8.61132004485172e-05
