Zeit;Kanal B;A-0,180
(s);(V);(mV)

0,01207500;-11,61417000;-48,63313000
0,01210000;-11,61417000;-48,64850000
0,01212500;-11,61417000;-48,69464000
0,01215000;-11,61417000;-48,71001000
0,01217500;-11,61417000;-48,72540000
0,01220000;-11,61417000;-48,77154000
0,01222500;-11,61417000;-48,78692000
0,01225000;-11,61417000;-48,83305000
0,01227500;-11,61417000;-48,87919000
0,01230000;-11,61417000;-48,89457000
0,01232500;-11,61417000;-48,90994000
0,01235000;-11,61417000;-48,95608000
0,01237500;-11,61417000;-49,00221000
0,01240000;-11,61417000;-49,01760000
0,01242500;-11,61417000;-49,06374000
0,01245000;-11,61417000;-49,07912000
0,01247500;-11,61417000;-49,12525000
0,01250000;-11,61417000;-49,17139000
0,01252500;-11,61417000;-49,18676000
0,01255000;-11,61417000;-49,23290000
0,01257500;-11,61417000;-49,24828000
0,01260000;-11,61417000;-49,29442000
0,01262500;-11,61417000;-49,30980000
0,01265000;-11,61417000;-49,30980000
0,01267500;-11,61417000;-49,35593000
0,01270000;-11,61417000;-49,37132000
0,01272500;-11,61417000;-49,38669000
0,01275000;-11,61417000;-49,41745000
0,01277500;-11,61417000;-49,43283000
0,01280000;-11,61417000;-49,44820000
0,01282500;-11,61417000;-49,49434000
0,01285000;-11,61417000;-49,50973000
0,01287500;-11,61417000;-49,55587000
0,01290000;-11,61417000;-49,57124000
0,01292500;-11,61417000;-49,61738000
0,01295000;-11,61417000;-49,63276000
0,01297500;-11,61417000;-49,66351000
0,01300000;-11,61417000;-49,67889000
0,01302500;-11,61417000;-49,69427000
0,01305000;-11,61417000;-49,74040000
0,01307500;-11,61417000;-49,78655000
0,01310000;-11,61417000;-49,80193000
0,01312500;-11,61417000;-49,81731000
0,01315000;-11,61417000;-49,84806000
0,01317500;-11,61417000;-49,87882000
0,01320000;-11,61417000;-49,90957000
0,01322500;-11,61417000;-49,92495000
0,01325000;-11,61417000;-49,94033000
0,01327500;-11,61417000;-49,97108000
0,01330000;-11,61417000;-49,98647000
0,01332500;-11,61417000;-50,03261000
0,01335000;-11,61417000;-50,04799000
0,01337500;-11,61417000;-50,09412000
0,01340000;-11,61417000;-50,10950000
0,01342500;-11,61417000;-50,15564000
0,01345000;-11,61417000;-50,18639000
0,01347500;-11,61417000;-50,23254000
0,01350000;-11,61417000;-50,27868000
0,01352500;-11,61417000;-50,30943000
0,01355000;-11,61417000;-50,34019000
0,01357500;-11,61417000;-50,38632000
0,01360000;-11,61417000;-50,40170000
0,01362500;-11,61417000;-50,41708000
0,01365000;-11,61417000;-50,44783000
0,01367500;-11,61417000;-50,46321000
0,01370000;-11,61417000;-50,50936000
0,01372500;-11,61417000;-50,54012000
0,01375000;-11,61417000;-50,57087000
0,01377500;-11,61417000;-50,58625000
0,01380000;-11,61417000;-50,60163000
0,01382500;-11,61417000;-50,63239000
0,01385000;-11,61417000;-50,64776000
0,01387500;-11,61417000;-50,66314000
0,01390000;-11,61417000;-50,69390000
0,01392500;-11,61417000;-50,70927000
0,01395000;-11,61417000;-50,75542000
0,01397500;-11,61417000;-50,81694000
0,01400000;-11,61417000;-50,83231000
0,01402500;-11,61417000;-50,87845000
0,01405000;-11,61417000;-50,89383000
0,01407500;-11,61417000;-50,90920000
0,01410000;-11,61417000;-50,93996000
0,01412500;-11,61417000;-50,95534000
0,01415000;-11,61417000;-50,97073000
0,01417500;-11,61417000;-51,00149000
0,01420000;-11,61417000;-51,01686000
0,01422500;-11,61417000;-51,03224000
0,01425000;-11,61417000;-51,06300000
0,01427500;-11,61417000;-51,07838000
0,01430000;-11,61417000;-51,09375000
0,01432500;-11,61417000;-51,12451000
0,01435000;-11,61417000;-51,15527000
0,01437500;-11,61417000;-51,18602000
0,01440000;-11,61417000;-51,20140000
0,01442500;-11,61417000;-51,24755000
0,01445000;-11,61417000;-51,26293000
0,01447500;-11,61417000;-51,27831000
0,01450000;-11,61417000;-51,30906000
0,01452500;-11,61417000;-51,32444000
0,01455000;-11,61417000;-51,33982000
0,01457500;-11,61417000;-51,37057000
0,01460000;-11,61417000;-51,38595000
0,01462500;-11,61417000;-51,40133000
0,01465000;-11,61417000;-51,44746000
0,01467500;-11,61417000;-51,49361000
0,01470000;-11,61417000;-51,50899000
0,01472500;-11,61417000;-51,52437000
0,01475000;-11,61417000;-51,55512000
0,01477500;-11,61417000;-51,57050000
0,01480000;-11,61417000;-51,60126000
0,01482500;-11,61417000;-51,63202000
0,01485000;-11,61417000;-51,67815000
0,01487500;-11,61417000;-51,69353000
0,01490000;-11,61417000;-51,73967000
0,01492500;-11,61417000;-51,75505000
0,01495000;-11,61417000;-51,78581000
0,01497500;-11,61417000;-51,81657000
0,01500000;-11,61417000;-51,84732000
0,01502500;-11,61417000;-51,87808000
0,01505000;-11,61417000;-51,90883000
0,01507500;-11,61417000;-51,93959000
0,01510000;-11,61417000;-51,98574000
0,01512500;-11,61417000;-52,03187000
0,01515000;-11,61417000;-52,06263000
0,01517500;-11,61417000;-52,06263000
0,01520000;-11,61417000;-52,10876000
0,01522500;-11,61417000;-52,15490000
0,01525000;-11,61417000;-52,18567000
0,01527500;-11,61417000;-52,23180000
0,01530000;-11,61417000;-52,24718000
0,01532500;-11,61417000;-52,29331000
0,01535000;-11,61417000;-52,33945000
0,01537500;-11,61417000;-52,35482000
0,01540000;-11,61417000;-52,40096000
0,01542500;-11,61417000;-52,41634000
0,01545000;-11,61417000;-52,43173000
0,01547500;-11,61417000;-52,47786000
0,01550000;-11,61417000;-52,52400000
0,01552500;-11,61417000;-52,55475000
0,01555000;-11,61417000;-52,60089000
0,01557500;-11,61417000;-52,64702000
0,01560000;-11,61417000;-52,67779000
0,01562500;-11,61417000;-52,70855000
0,01565000;-11,61417000;-52,73930000
0,01567500;-11,61417000;-52,77006000
0,01570000;-11,61417000;-52,78544000
0,01572500;-11,61417000;-52,83157000
0,01575000;-11,61417000;-52,84695000
0,01577500;-11,61417000;-52,86233000
0,01580000;-11,61417000;-52,90846000
0,01582500;-11,61417000;-52,95461000
0,01585000;-11,61417000;-53,00074000
0,01587500;-11,61417000;-53,01612000
0,01590000;-11,61417000;-53,06226000
0,01592500;-11,61417000;-53,09301000
0,01595000;-11,61417000;-53,13915000
0,01597500;-11,61417000;-53,15453000
0,01600000;-11,61417000;-53,18530000
0,01602500;-11,61417000;-53,21605000
0,01605000;-11,61417000;-53,26218000
0,01607500;-11,61417000;-53,27757000
0,01610000;-11,61417000;-53,32370000
0,01612500;-11,61417000;-53,33908000
0,01615000;-11,61417000;-53,38521000
0,01617500;-11,61417000;-53,40059000
0,01620000;-11,61417000;-53,43136000
0,01622500;-11,61417000;-53,44674000
0,01625000;-11,61417000;-53,49287000
0,01627500;-11,61417000;-53,52363000
0,01630000;-11,61417000;-53,55438000
0,01632500;-11,61417000;-53,56976000
0,01635000;-11,61417000;-53,61589000
0,01637500;-11,61417000;-53,61589000
0,01640000;-11,61417000;-53,64665000
0,01642500;-11,61417000;-53,67742000
0,01645000;-11,61417000;-53,70818000
0,01647500;-11,61417000;-53,73893000
0,01650000;-11,61417000;-53,75431000
0,01652500;-11,61417000;-53,80045000
0,01655000;-11,61417000;-53,83120000
0,01657500;-11,61417000;-53,87733000
0,01660000;-11,61417000;-53,89271000
0,01662500;-11,61417000;-53,93886000
0,01665000;-11,61417000;-53,95424000
0,01667500;-11,61417000;-54,00037000
0,01670000;-11,61417000;-54,04651000
0,01672500;-11,61417000;-54,07726000
0,01675000;-11,61417000;-54,12340000
0,01677500;-11,61417000;-54,13879000
0,01680000;-11,61417000;-54,18493000
0,01682500;-11,61417000;-54,20030000
0,01685000;-11,61417000;-54,23106000
0,01687500;-11,61417000;-54,24644000
0,01690000;-11,61417000;-54,26181000
