time,input_v,output_v
6.099999999999999737e-04,3.049999999999999822e+00,2.036786254271566107e-03
6.120000000000000223e-04,3.060000000000000053e+00,2.069099562979813400e-03
6.139999999999999625e-04,3.069999999999999840e+00,2.101791780171782635e-03
6.160000000000000111e-04,3.080000000000000071e+00,2.134865676665468129e-03
6.179999999999999513e-04,3.089999999999999858e+00,2.168324029092522347e-03
6.199999999999999999e-04,3.100000000000000089e+00,2.202169619838448278e-03
6.220000000000000485e-04,3.109999999999999876e+00,2.236405236982890680e-03
6.239999999999999887e-04,3.120000000000000107e+00,2.271033674240019711e-03
6.260000000000000373e-04,3.129999999999999893e+00,2.306057730899017770e-03
6.279999999999999775e-04,3.140000000000000124e+00,2.341480211764666516e-03
6.300000000000000261e-04,3.149999999999999911e+00,2.377303927098037978e-03
6.319999999999999663e-04,3.160000000000000142e+00,2.413531692557292774e-03
6.340000000000000149e-04,3.169999999999999929e+00,2.450166329138586327e-03
6.359999999999999551e-04,3.179999999999999716e+00,2.487210663117086964e-03
6.380000000000000037e-04,3.189999999999999947e+00,2.524667525988105472e-03
6.400000000000000524e-04,3.200000000000000178e+00,2.562539754408340448e-03
6.419999999999999925e-04,3.209999999999999964e+00,2.600830190137241611e-03
6.440000000000000412e-04,3.220000000000000195e+00,2.639541679978491505e-03
6.459999999999999814e-04,3.229999999999999982e+00,2.678677075721608205e-03
6.480000000000000300e-04,3.240000000000000213e+00,2.718239234083671615e-03
6.499999999999999702e-04,3.249999999999999556e+00,2.758231016651176409e-03
6.520000000000000188e-04,3.260000000000000231e+00,2.798655289822008559e-03
6.539999999999999590e-04,3.269999999999999574e+00,2.839514924747555021e-03
6.560000000000000076e-04,3.280000000000000249e+00,2.880812797274940901e-03
6.579999999999999478e-04,3.289999999999999591e+00,2.922551787889401086e-03
6.599999999999999964e-04,3.300000000000000266e+00,2.964734781656785858e-03
6.620000000000000450e-04,3.310000000000000053e+00,3.007364668166202706e-03
6.639999999999999852e-04,3.319999999999999396e+00,3.050444341472796465e-03
6.660000000000000338e-04,3.330000000000000071e+00,3.093976700040667813e-03
6.679999999999999740e-04,3.339999999999999858e+00,3.137964646685934434e-03
6.700000000000000226e-04,3.350000000000000089e+00,3.182411088519934445e-03
6.719999999999999628e-04,3.359999999999999432e+00,3.227318936892574659e-03
6.740000000000000114e-04,3.370000000000000107e+00,3.272691107335824138e-03
6.759999999999999516e-04,3.379999999999999893e+00,3.318530519507357363e-03
6.780000000000000002e-04,3.389999999999999680e+00,3.364840097134343122e-03
6.800000000000000488e-04,3.400000000000000355e+00,3.411622767957388225e-03
6.819999999999999890e-04,3.409999999999999698e+00,3.458881463674629529e-03
6.840000000000000377e-04,3.420000000000000373e+00,3.506619119885981666e-03
6.859999999999999779e-04,3.429999999999999716e+00,3.554838676037539585e-03
6.880000000000000265e-04,3.440000000000000391e+00,3.603543075366136359e-03
6.899999999999999667e-04,3.449999999999999734e+00,3.652735264844059714e-03
6.920000000000000153e-04,3.459999999999999964e+00,3.702418195123926854e-03
6.939999999999999555e-04,3.469999999999999751e+00,3.752594820483720183e-03
6.960000000000000041e-04,3.479999999999999538e+00,3.803268098771983054e-03
6.980000000000000527e-04,3.490000000000000213e+00,3.854440991353181613e-03
6.999999999999999929e-04,3.500000000000000000e+00,3.906116463053225813e-03
7.020000000000000415e-04,3.510000000000000231e+00,3.958297482105159991e-03
7.039999999999999817e-04,3.519999999999999574e+00,4.010987020095017376e-03
7.060000000000000303e-04,3.529999999999999805e+00,4.064188051907844171e-03
7.079999999999999705e-04,3.540000000000000036e+00,4.117903555673888862e-03
7.100000000000000191e-04,3.549999999999999822e+00,4.172136512714964135e-03
7.119999999999999593e-04,3.559999999999999609e+00,4.226889907490980099e-03
7.140000000000000079e-04,3.569999999999999840e+00,4.282166727546645769e-03
7.159999999999999481e-04,3.580000000000000071e+00,4.337969963458347504e-03
7.179999999999999967e-04,3.589999999999999858e+00,4.394302608781198299e-03
7.200000000000000453e-04,3.600000000000000533e+00,4.451167659996263168e-03
7.219999999999999855e-04,3.609999999999999876e+00,4.508568116457961454e-03
7.240000000000000342e-04,3.620000000000000107e+00,4.566506980341642624e-03
7.259999999999999743e-04,3.629999999999999893e+00,4.624987256591344201e-03
7.280000000000000230e-04,3.639999999999999680e+00,4.684011952867724038e-03
7.299999999999999632e-04,3.649999999999999911e+00,4.743584079496174742e-03
7.320000000000000118e-04,3.660000000000000142e+00,4.803706649415115902e-03
7.339999999999999520e-04,3.669999999999999929e+00,4.864382678124470200e-03
7.360000000000000006e-04,3.679999999999999716e+00,4.925615183634319931e-03
7.380000000000000492e-04,3.689999999999999947e+00,4.987407186413746543e-03
7.399999999999999894e-04,3.700000000000000178e+00,5.049761709339851447e-03
7.420000000000000380e-04,3.709999999999999964e+00,5.112681777646965915e-03
7.439999999999999782e-04,3.719999999999999751e+00,5.176170418876041394e-03
7.460000000000000268e-04,3.729999999999999982e+00,5.240230662824225429e-03
7.479999999999999670e-04,3.740000000000000213e+00,5.304865541494628405e-03
7.500000000000000156e-04,3.750000000000000000e+00,5.370078089046271576e-03
7.519999999999999558e-04,3.759999999999999343e+00,5.435871341744227640e-03
7.540000000000000044e-04,3.770000000000000018e+00,5.502248337909944331e-03
7.560000000000000530e-04,3.780000000000000249e+00,5.569212117871763165e-03
7.579999999999999932e-04,3.790000000000000036e+00,5.636765723915622070e-03
7.600000000000000418e-04,3.799999999999999822e+00,5.704912200235949700e-03
7.619999999999999820e-04,3.810000000000000053e+00,5.773654592886753173e-03
7.640000000000000306e-04,3.820000000000000284e+00,5.842995949732892290e-03
7.659999999999999708e-04,3.829999999999999627e+00,5.912939320401548043e-03
7.680000000000000195e-04,3.839999999999999858e+00,5.983487756233883681e-03
7.699999999999999597e-04,3.849999999999999645e+00,6.054644310236896587e-03
7.720000000000000083e-04,3.860000000000000320e+00,6.126412037035464456e-03
