# frequency(Hz) , input_amplitude(V) , output_amplitude(V)
2.450000000000000355e+01,1.570796327117651199e-05,2.089544495735794872e-06
2.460000000000000142e+01,4.081582277961312219e-03,5.407822871548803459e-04
2.470000000000000284e+01,1.570796327117925976e-05,2.072920941333925939e-06
2.480000000000000426e+01,4.048532209615284851e-03,5.321525784842506650e-04
2.490000000000000213e+01,1.570796327117876510e-05,2.056557510347018553e-06
2.500000000000000355e+01,4.016013059456004057e-03,5.237272320479490883e-04
2.510000000000000142e+01,1.570796327117878543e-05,2.040448198029091464e-06
2.520000000000000284e+01,3.984012136211902318e-03,5.154998629569549099e-04
2.530000000000000426e+01,1.570796327117907003e-05,2.024587181384822782e-06
2.540000000000000213e+01,3.952517149916826358e-03,5.074643330896052738e-04
2.550000000000000355e+01,1.570796327117808408e-05,2.008968812409121679e-06
2.560000000000000142e+01,3.921516196171806988e-03,4.996147397639779438e-04
2.570000000000000284e+01,1.570796327118006614e-05,1.993587611623803677e-06
2.580000000000000426e+01,3.890997741143082441e-03,4.919454050109692408e-04
2.590000000000000213e+01,1.570796327117910052e-05,1.978438261893040142e-06
2.600000000000000355e+01,3.860950607254187619e-03,4.844508654117219782e-04
2.610000000000000142e+01,1.570796327117851438e-05,1.963515602510904416e-06
2.620000000000000284e+01,3.831363959536396042e-03,4.771258624660001035e-04
2.630000000000000426e+01,1.570796327117814507e-05,1.948814623539166203e-06
2.640000000000000213e+01,3.802227292601774011e-03,4.699653334600277965e-04
2.650000000000000355e+01,1.570796327117577676e-05,1.934330460388690514e-06
2.660000000000000142e+01,3.773530418206180823e-03,4.629644028045106744e-04
2.670000000000000284e+01,1.570796327117895822e-05,1.920058388632043152e-06
2.680000000000000426e+01,3.745263453371211210e-03,4.561183738154294428e-04
2.690000000000000213e+01,1.570796327117892773e-05,1.905993819030178479e-06
2.700000000000000355e+01,3.717416809036034643e-03,4.494227209119919350e-04
2.710000000000000142e+01,1.570796327117813829e-05,1.892132292773895351e-06
2.720000000000000284e+01,3.689981179211726785e-03,4.428730822077706878e-04
2.730000000000000426e+01,1.570796327117708797e-05,1.878469476918436042e-06
2.740000000000000213e+01,3.662947530612341556e-03,4.364652524725981422e-04
2.750000000000000355e+01,1.570796327118043883e-05,1.865001160009139178e-06
2.760000000000000142e+01,3.636307092738426394e-03,4.301951764442043776e-04
2.770000000000000284e+01,1.570796327117843645e-05,1.851723247883874579e-06
2.780000000000000426e+01,3.610051348390153070e-03,4.240589424699286493e-04
2.790000000000000213e+01,1.570796327118002548e-05,1.838631759652885765e-06
2.800000000000000355e+01,3.584172024588472803e-03,4.180527764600489547e-04
2.810000000000000142e+01,1.570796327118026265e-05,1.825722823834042469e-06
2.820000000000000284e+01,3.558661083884002898e-03,4.121730361354419684e-04
2.830000000000000426e+01,1.570796327117869395e-05,1.812992674649757223e-06
2.840000000000000213e+01,3.533510716034396829e-03,4.064162055533363893e-04
2.850000000000000355e+01,1.570796327117882608e-05,1.800437648470049855e-06
2.860000000000000142e+01,3.508713330032187452e-03,4.007788898959460124e-04
2.870000000000000284e+01,1.570796327118067600e-05,1.788054180396397545e-06
2.880000000000000426e+01,3.484261546465930882e-03,3.952578105076683460e-04
2.890000000000000213e+01,1.570796327117978492e-05,1.775838800981450657e-06
2.900000000000000355e+01,3.460148190198553651e-03,3.898498001674294950e-04
2.910000000000000142e+01,1.570796327117913779e-05,1.763788133079152261e-06
2.920000000000000284e+01,3.436366283347605521e-03,3.845517985835458200e-04
2.930000000000000426e+01,1.570796327117951049e-05,1.751898888815517499e-06
2.940000000000000213e+01,3.412909038553026651e-03,3.793608480992392471e-04
2.950000000000000355e+01,1.570796327117634258e-05,1.740167866677763563e-06
2.960000000000000142e+01,3.389769852518754317e-03,3.742740895976456698e-04
2.970000000000000284e+01,1.570796327117740984e-05,1.728591948718082420e-06
2.980000000000000426e+01,3.366942299815291889e-03,3.692887585958143717e-04
2.990000000000000213e+01,1.570796327117788418e-05,1.717168097860021399e-06
3.000000000000000355e+01,3.344420126930991184e-03,3.644021815178152628e-04
3.010000000000000142e+01,1.570796327117814846e-05,1.705893355312217593e-06
3.020000000000000284e+01,3.322197246560465878e-03,3.596117721376419340e-04
3.030000000000000426e+01,1.570796327117774188e-05,1.694764838077592443e-06
3.040000000000000213e+01,3.300267732119321722e-03,3.549150281831584702e-04
3.050000000000000355e+01,1.570796327117770461e-05,1.683779736557283783e-06
3.060000000000000142e+01,3.278625812474503329e-03,3.503095280927947370e-04
3.070000000000000284e+01,1.570796327117927670e-05,1.672935312243945156e-06
3.080000000000000426e+01,3.257265866880809397e-03,3.457929279172403179e-04
3.090000000000000213e+01,1.570796327117922588e-05,1.662228895500561999e-06
3.100000000000000355e+01,3.236182420113951647e-03,3.413629583587610584e-04
3.110000000000000142e+01,1.570796327117921572e-05,1.651657883422973318e-06
3.120000000000000284e+01,3.215370137791418847e-03,3.370174219412186748e-04
3.130000000000000426e+01,1.570796327117870750e-05,1.641219737779322590e-06
3.140000000000000213e+01,3.194823821872748524e-03,3.327541903042522211e-04
3.150000000000000355e+01,1.570796327117604443e-05,1.630911983025749038e-06
3.160000000000000142e+01,3.174538406331199776e-03,3.285712016154407008e-04
3.170000000000000284e+01,1.570796327117815185e-05,1.620732204395143129e-06
3.180000000000000426e+01,3.154508952989294127e-03,3.244664580946201595e-04
3.190000000000000213e+01,1.570796327118056419e-05,1.610678046051979103e-06
3.200000000000000000e+01,3.134730647510984135e-03,3.204380236448364522e-04
3.210000000000000142e+01,1.570796327117652215e-05,1.600747209316459156e-06
3.220000000000000284e+01,3.115198795543688663e-03,3.164840215847319546e-04
3.230000000000000426e+01,1.570796327117977137e-05,1.590937450953541615e-06
3.240000000000000568e+01,3.095908819003610236e-03,3.126026324774347780e-04
3.250000000000000000e+01,1.570796327117218535e-05,1.581246581515222494e-06
3.260000000000000142e+01,3.076856252498247780e-03,3.087920920512985030e-04
3.270000000000000284e+01,1.570796327118515173e-05,1.571672463754806602e-06
3.280000000000000426e+01,3.058036739880180647e-03,3.050506892080809751e-04
3.290000000000000568e+01,1.570796327117859908e-05,1.562213011076792140e-06
3.300000000000000000e+01,3.039446030926536407e-03,3.013767641143925372e-04
3.310000000000000142e+01,1.570796327117944611e-05,1.552866186066595573e-06
3.320000000000000284e+01,3.021079978138873148e-03,2.977687063724686681e-04
3.330000000000000426e+01,1.570796327117772494e-05,1.543629999047559850e-06
3.340000000000000568e+01,3.002934533658346318e-03,2.942249532665198596e-04
3.350000000000000000e+01,1.570796327117786047e-05,1.534502506703017515e-06
3.360000000000000142e+01,2.985005746291398247e-03,2.907439880811235849e-04
3.370000000000000284e+01,1.570796327117944272e-05,1.525481810738870996e-06
3.380000000000000426e+01,2.967289758641346482e-03,2.873243384882955952e-04
3.390000000000000568e+01,1.570796327117867023e-05,1.516566056593902571e-06
3.400000000000000000e+01,2.949782804341525427e-03,2.839645750000635615e-04
3.410000000000000142e+01,1.570796327117987302e-05,1.507753432194908681e-06
3.420000000000000284e+01,2.932481205385772862e-03,2.806633094835172160e-04
3.430000000000000426e+01,1.570796327117839240e-05,1.499042166751199246e-06
3.440000000000000568e+01,2.915381369552330886e-03,2.774191937354826207e-04
3.450000000000000000e+01,1.570796327117706425e-05,1.490430529592846882e-06
3.460000000000000142e+01,2.898479787917334054e-03,2.742309181140931964e-04
3.470000000000000284e+01,1.570796327117835513e-05,1.481916829045499972e-06
3.480000000000000426e+01,2.881773032454301633e-03,2.710972102246916415e-04
3.490000000000000568e+01,1.570796327117958841e-05,1.473499411342939328e-06
3.500000000000000000e+01,2.865257753716150216e-03,2.680168336576037682e-04
3.510000000000000142e+01,1.570796327117680337e-05,1.465176659576434401e-06
3.520000000000000284e+01,2.848930678596464129e-03,2.649885867754687269e-04
3.530000000000000426e+01,1.570796327117768428e-05,1.456946992679538085e-06
3.540000000000000568e+01,2.832788608166905437e-03,2.620113015479174777e-04
3.550000000000000000e+01,1.570796327117910391e-05,1.448808864442870935e-06
3.560000000000000142e+01,2.816828415587633704e-03,2.590838424314896517e-04
3.570000000000000284e+01,1.570796327118283763e-05,1.440760762564505534e-06
3.580000000000000426e+01,2.801047044088057075e-03,2.562051052928128437e-04
3.590000000000000568e+01,1.570796327117414369e-05,1.432801207727748583e-06
3.600000000000000000e+01,2.785441505015035478e-03,2.533740163731353816e-04
3.610000000000000142e+01,1.570796327117885319e-05,1.424928752715780971e-06
3.620000000000000284e+01,2.770008875945969857e-03,2.505895312924138270e-04
3.630000000000000426e+01,1.570796327117817556e-05,1.417141981541855959e-06
3.640000000000000568e+01,2.754746298864269461e-03,2.478506340912399442e-04
3.650000000000000000e+01,1.570796327117745728e-05,1.409439508621080518e-06
3.660000000000000142e+01,2.739650978394799798e-03,2.451563363089745472e-04
3.670000000000000284e+01,1.570796327117877865e-05,1.401819977959904334e-06
3.680000000000000426e+01,2.724720180097036162e-03,2.425056760965356190e-04
3.690000000000000568e+01,1.570796327117896500e-05,1.394282062373469404e-06
3.700000000000000000e+01,2.709951228813717913e-03,2.398977173623603341e-04
3.710000000000000142e+01,1.570796327117280199e-05,1.386824462728018478e-06
3.720000000000000284e+01,2.695341507072916178e-03,2.373315489501345572e-04
3.730000000000000426e+01,1.570796327118771993e-05,1.379445907209756549e-06
3.740000000000000568e+01,2.680888453541507063e-03,2.348062838469463555e-04
3.750000000000000000e+01,1.570796327116511431e-05,1.372145150603058710e-06
3.760000000000000142e+01,2.666589561528144321e-03,2.323210584205861182e-04
3.770000000000000284e+01,1.570796327119150447e-05,1.364920973621434197e-06
3.780000000000000426e+01,2.652442377533869699e-03,2.298750316847757787e-04
3.790000000000000568e+01,1.570796327116834998e-05,1.357772182210560997e-06
3.800000000000000000e+01,2.638444499848618865e-03,2.274673845911643038e-04
3.810000000000000142e+01,1.570796327118388118e-05,1.350697606933065491e-06
3.820000000000000284e+01,2.624593577191938060e-03,2.250973193469831056e-04
3.830000000000000426e+01,1.570796327117861263e-05,1.343696102311628282e-06
